Sentence,Tokens,Labels
The Dhaulagiri mountain in Nepal is considered one of the most challenging climbs in the world due to its extreme elevation and unpredictable weather conditions.,<s> The ĠD haul ag iri Ġmountain Ġin ĠNepal Ġis Ġconsidered Ġone Ġof Ġthe Ġmost Ġchallenging Ġclimbs Ġin Ġthe Ġworld Ġdue Ġto Ġits Ġextreme Ġelevation Ġand Ġunpredictable Ġweather Ġconditions . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The hikers on the Appalachian Trail turned off onto a lesser-known route, which led them to a stunning view of Mount Disappointment.","<s> The Ġhikers Ġon Ġthe ĠAppalachian ĠTrail Ġturned Ġoff Ġonto Ġa Ġlesser - known Ġroute , Ġwhich Ġled Ġthem Ġto Ġa Ġstunning Ġview Ġof ĠMount ĠDisapp ointment . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O </s>
"The highest peak in Europe, Mount Elbrus, rises 18,510 feet above the Caspian Sea in Russia's Caucasus Mountains.","<s> The Ġhighest Ġpeak Ġin ĠEurope , ĠMount ĠEl br us , Ġrises Ġ18 , 510 Ġfeet Ġabove Ġthe ĠC asp ian ĠSea Ġin ĠRussia 's ĠCaucasus ĠMountains . </s>",<s> O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
"Mount Erebus, located in Antarctica, is one of the most northerly active volcanoes on Earth.","<s> Mount ĠE re bus , Ġlocated Ġin ĠAntarctica , Ġis Ġone Ġof Ġthe Ġmost Ġnort her ly Ġactive Ġvolcan oes Ġon ĠEarth . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
The ancient Greeks believed that Mount Etna was the dwelling place of the Olympian gods.,<s> The Ġancient ĠGreeks Ġbelieved Ġthat ĠMount ĠEt na Ġwas Ġthe Ġdwelling Ġplace Ġof Ġthe ĠOlymp ian Ġgods . </s>,<s> O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O </s>
Everest is the highest mountain peak in the world.,<s> E ve rest Ġis Ġthe Ġhighest Ġmountain Ġpeak Ġin Ġthe Ġworld . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O </s>
The treacherous conditions on Mount Gasherbrum make it one of the most challenging climbs in the Karakoram range.,<s> The Ġtreacherous Ġconditions Ġon ĠMount ĠGas her br um Ġmake Ġit Ġone Ġof Ġthe Ġmost Ġchallenging Ġclimbs Ġin Ġthe ĠKar ak or am Ġrange . </s>,<s> O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O </s>
"Island Peak, the highest peak in the Barun Glacier of Nepal's Himalayas, stood at 7,189 meters above sea level.","<s> Is land ĠPeak , Ġthe Ġhighest Ġpeak Ġin Ġthe ĠBar un ĠGlacier Ġof ĠNepal 's ĠHimal ay as , Ġstood Ġat Ġ7 , 189 Ġmeters Ġabove Ġsea Ġlevel . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The Habicht, also known as the Alpine Chough, is a large bird of prey with black plumage and a distinctive red bill found in European mountains, including those inhabited by the Habicht Mountains in Austria.","<s> The ĠHab icht , Ġalso Ġknown Ġas Ġthe ĠAlpine ĠCh ough , Ġis Ġa Ġlarge Ġbird Ġof Ġprey Ġwith Ġblack Ġplum age Ġand Ġa Ġdistinctive Ġred Ġbill Ġfound Ġin ĠEuropean Ġmountains , Ġincluding Ġthose Ġinhabited Ġby Ġthe ĠHab icht ĠMountains Ġin ĠAustria . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The highest peak in the Cascade Range, Mount Jefferson is a prominent granite summit located in Oregon's Willamette National Forest.","<s> The Ġhighest Ġpeak Ġin Ġthe ĠCascade ĠRange , ĠMount ĠJefferson Ġis Ġa Ġprominent Ġgranite Ġsummit Ġlocated Ġin ĠOregon 's ĠWill am ette ĠNational ĠForest . </s>",<s> O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
"The highest peak in the Himalayas, Kangchenjunga, stands at an elevation of 8,586 meters above sea level.","<s> The Ġhighest Ġpeak Ġin Ġthe ĠHimal ay as , ĠKang chen j ung a , Ġstands Ġat Ġan Ġelevation Ġof Ġ8 , 586 Ġmeters Ġabove Ġsea Ġlevel . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Kanjiroba, a notable mountain in Nepal, is known for its distinctive twin peaks and rich biodiversity.","<s> K an j iro ba , Ġa Ġnotable Ġmountain Ġin ĠNepal , Ġis Ġknown Ġfor Ġits Ġdistinctive Ġtwin Ġpeaks Ġand Ġrich Ġbiodiversity . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
The remote Alaskan island of McNeil River State Game Sanctuary is located near Katmai National Park and Preserve.,<s> The Ġremote ĠAl ask an Ġisland Ġof ĠMc Neil ĠRiver ĠState ĠGame ĠSanctuary Ġis Ġlocated Ġnear ĠKat m ai ĠNational ĠPark Ġand ĠPres erve . </s>,<s> O O O O O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O </s>
"The Khumbutse, one of the tallest peaks in the Himalayas, is a prominent mountain located east of Mount Everest and part of the Mahalangur Himal sub-range.","<s> The ĠKh umb ut se , Ġone Ġof Ġthe Ġtallest Ġpeaks Ġin Ġthe ĠHimal ay as , Ġis Ġa Ġprominent Ġmountain Ġlocated Ġeast Ġof ĠMount ĠEverest Ġand Ġpart Ġof Ġthe ĠMah al ang ur ĠHimal Ġsub - range . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
"The highest peak in Africa, Mount Kilimanjaro, rises dramatically from the savannas below.","<s> The Ġhighest Ġpeak Ġin ĠAfrica , ĠMount ĠKil iman jar o , Ġrises Ġdramatically Ġfrom Ġthe Ġsav ann as Ġbelow . </s>",<s> O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O </s>
"Kosciuszko is the highest peak in Australia, located in the Snowy Mountains of New South Wales.","<s> K os cius z ko Ġis Ġthe Ġhighest Ġpeak Ġin ĠAustralia , Ġlocated Ġin Ġthe ĠSnow y ĠMountains Ġof ĠNew ĠSouth ĠWales . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
Lhotse is the fourth-highest mountain in the world and a prominent peak located in the Mahalangur Himal sub-range of the Himalayas.,<s> L hot se Ġis Ġthe Ġfourth - highest Ġmountain Ġin Ġthe Ġworld Ġand Ġa Ġprominent Ġpeak Ġlocated Ġin Ġthe ĠMah al ang ur ĠHimal Ġsub - range Ġof Ġthe ĠHimal ay as . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The snow-capped peak of Mount Logan rises majestically in the Canadian wilderness.,<s> The Ġsnow - c apped Ġpeak Ġof ĠMount ĠLogan Ġrises Ġmaj est ically Ġin Ġthe ĠCanadian Ġwilderness . </s>,<s> O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O </s>
Machapuchare is one of the highest peaks in the Annapurna range in Nepal.,<s> Mach ap uch are Ġis Ġone Ġof Ġthe Ġhighest Ġpeaks Ġin Ġthe ĠAnn ap urn a Ġrange Ġin ĠNepal . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O </s>
Makalu is the world's fifth-highest mountain and part of the Mahalangur Himal sub-range of the Himalayas.,<s> M ak al u Ġis Ġthe Ġworld 's Ġfifth - highest Ġmountain Ġand Ġpart Ġof Ġthe ĠMah al ang ur ĠHimal Ġsub - range Ġof Ġthe ĠHimal ay as . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Manaslu is the eighth highest mountain in the world, located in the Mahalangur Himal sub-range of the Himalayas.","<s> Man as lu Ġis Ġthe Ġeighth Ġhighest Ġmountain Ġin Ġthe Ġworld , Ġlocated Ġin Ġthe ĠMah al ang ur ĠHimal Ġsub - range Ġof Ġthe ĠHimal ay as . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The Matterhorn, a towering Swiss mountain, dominates the landscape with its distinctive pyramidal shape.","<s> The ĠMatter horn , Ġa Ġtowering ĠSwiss Ġmountain , Ġdominates Ġthe Ġlandscape Ġwith Ġits Ġdistinctive Ġpy ram idal Ġshape . </s>",<s> O O O O O O O O O O O O O O O O O O O O </s>
Mount McKinley is the highest peak in North America and a prominent landmark in Alaska's wilderness.,<s> Mount ĠMcKin ley Ġis Ġthe Ġhighest Ġpeak Ġin ĠNorth ĠAmerica Ġand Ġa Ġprominent Ġlandmark Ġin ĠAlaska 's Ġwilderness . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O </s>
The Cerro Mercedario in Argentina is one of the highest peaks in the Andes mountain range.,<s> The ĠCer ro ĠMer ced ario Ġin ĠArgentina Ġis Ġone Ġof Ġthe Ġhighest Ġpeaks Ġin Ġthe ĠAnd es Ġmountain Ġrange . </s>,<s> O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
Mont Blanc rises dramatically from its base on the French-Italian border to become one of the most iconic and challenging mountains in the world.,<s> Mont ĠBlanc Ġrises Ġdramatically Ġfrom Ġits Ġbase Ġon Ġthe ĠFrench - Italian Ġborder Ġto Ġbecome Ġone Ġof Ġthe Ġmost Ġiconic Ġand Ġchallenging Ġmountains Ġin Ġthe Ġworld . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The imposing peak of Monte Rosa rises above the surrounding mountains in Switzerland's Pennine Alps.,<s> The Ġimposing Ġpeak Ġof ĠMonte ĠRosa Ġrises Ġabove Ġthe Ġsurrounding Ġmountains Ġin ĠSwitzerland 's ĠPenn ine ĠAlps . </s>,<s> O O O O O O O O O O O O O O O O O O </s>
Nanga Parbat is one of the highest and most technically challenging mountains in the Karakoram range of the Himalayas.,<s> N anga ĠPar bat Ġis Ġone Ġof Ġthe Ġhighest Ġand Ġmost Ġtechnically Ġchallenging Ġmountains Ġin Ġthe ĠKar ak or am Ġrange Ġof Ġthe ĠHimal ay as . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
The ancient Greeks believed Mount Olympus was the home of the gods.,<s> The Ġancient ĠGreeks Ġbelieved ĠMount ĠOlympus Ġwas Ġthe Ġhome Ġof Ġthe Ġgods . </s>,<s> O O O O B-LOCATION I-LOCATION O O O O O O O </s>
"Orizaba, Mexico's highest peak at 18,491 feet, is an active volcano that forms the border between the states of Veracruz and Puebla.","<s> O riz aba , ĠMexico 's Ġhighest Ġpeak Ġat Ġ18 , 491 Ġfeet , Ġis Ġan Ġactive Ġvolcano Ġthat Ġforms Ġthe Ġborder Ġbetween Ġthe Ġstates Ġof ĠVer ac ru z Ġand ĠP uebl a . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The snow-capped peak of Pico Mountain in Vermont rises 4,080 feet above the surrounding landscape.","<s> The Ġsnow - c apped Ġpeak Ġof ĠP ico ĠMountain Ġin ĠVermont Ġrises Ġ4 , 080 Ġfeet Ġabove Ġthe Ġsurrounding Ġlandscape . </s>",<s> O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
"The 13th highest peak in Nepal is located at an elevation of 7,309 meters and is known as Pisang Peak.","<s> The Ġ13 th Ġhighest Ġpeak Ġin ĠNepal Ġis Ġlocated Ġat Ġan Ġelevation Ġof Ġ7 , 309 Ġmeters Ġand Ġis Ġknown Ġas ĠPis ang ĠPeak . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The majestic Mount Everest's neighboring peak is often overshadowed by its larger counterpart, but Pumori stands as a formidable and culturally significant 24,803-foot behemoth in the Himalayas.","<s> The Ġmajestic ĠMount ĠEverest 's Ġneighboring Ġpeak Ġis Ġoften Ġovershadowed Ġby Ġits Ġlarger Ġcounterpart , Ġbut ĠP um ori Ġstands Ġas Ġa Ġformidable Ġand Ġculturally Ġsignificant Ġ24 , 803 - foot Ġbe hemoth Ġin Ġthe ĠHimal ay as . </s>",<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O </s>
"Mount Rainier, an active volcano in Washington State, towers above the surrounding landscape with its snow-capped peak.","<s> Mount ĠRain ier , Ġan Ġactive Ġvolcano Ġin ĠWashington ĠState , Ġtowers Ġabove Ġthe Ġsurrounding Ġlandscape Ġwith Ġits Ġsnow - c apped Ġpeak . </s>",<s> O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O </s>
The United States' Redoubt Island Volcano Observatory is located on Little Redoubt Island in the Aleutian Islands of Alaska.,<s> The ĠUnited ĠStates ' ĠRed oubt ĠIsland ĠVolcano ĠObservatory Ġis Ġlocated Ġon ĠLittle ĠRed oubt ĠIsland Ġin Ġthe ĠAle ut ian ĠIslands Ġof ĠAlaska . </s>,<s> O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
President Abraham Lincoln was one of the faces carved into Mount Rushmore in South Dakota.,<s> President ĠAbraham ĠLincoln Ġwas Ġone Ġof Ġthe Ġfaces Ġcarved Ġinto ĠMount ĠRush more Ġin ĠSouth ĠDakota . </s>,<s> O O O O O O O O O O O B-LOCATION I-LOCATION O O O O </s>
The Silberhorn is the highest peak in the Swiss Alps.,<s> The ĠSil ber horn Ġis Ġthe Ġhighest Ġpeak Ġin Ġthe ĠSwiss ĠAlps . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O </s>
The mountain Shasta rises majestically in northern California and southern Oregon.,<s> The Ġmountain ĠSh asta Ġrises Ġmaj est ically Ġin Ġnorthern ĠCalifornia Ġand Ġsouthern ĠOregon . </s>,<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O </s>
Shishapangma is the world's eighth highest peak in the Himalayas and is located on the border between China and Nepal.,<s> Sh ish ap ang ma Ġis Ġthe Ġworld 's Ġeighth Ġhighest Ġpeak Ġin Ġthe ĠHimal ay as Ġand Ġis Ġlocated Ġon Ġthe Ġborder Ġbetween ĠChina Ġand ĠNepal . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
The Tahoma Range in Washington state is part of the larger Olympic Mountains ecosystem.,<s> The ĠTah oma ĠRange Ġin ĠWashington Ġstate Ġis Ġpart Ġof Ġthe Ġlarger ĠOlympic ĠMountains Ġecosystem . </s>,<s> O O O O O O O O O O O O O O O O </s>
The summit of Valvelspitze rises high above the Dolomiti Bellunesi National Park in northeastern Italy.,<s> The Ġsummit Ġof ĠVal vel sp it ze Ġrises Ġhigh Ġabove Ġthe ĠDol om iti ĠBell unes i ĠNational ĠPark Ġin Ġnortheastern ĠItaly . </s>,<s> O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O </s>
The ancient city of Pompeii was destroyed by the eruption of Mount Vesuvius in 79 AD.,<s> The Ġancient Ġcity Ġof ĠPompe ii Ġwas Ġdestroyed Ġby Ġthe Ġeruption Ġof ĠMount ĠVes uv ius Ġin Ġ79 ĠAD . </s>,<s> O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O </s>
The Mount Vinson Massif in Antarctica is one of the most inaccessible and remote mountains in the world.,<s> The ĠMount ĠV inson ĠMass if Ġin ĠAntarctica Ġis Ġone Ġof Ġthe Ġmost Ġinaccessible Ġand Ġremote Ġmountains Ġin Ġthe Ġworld . </s>,<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
Whitney Portal Trail on Mount Whitney is one of the most popular trails in the Sierra Nevada mountain range.,<s> Whit ney ĠPortal ĠTrail Ġon ĠMount ĠWhitney Ġis Ġone Ġof Ġthe Ġmost Ġpopular Ġtrails Ġin Ġthe ĠSierra ĠNevada Ġmountain Ġrange . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
The picturesque village of Kitzbühel is nestled at the foot of the majestic mountain Wilhelm in the Austrian Alps.,<s> The Ġpictures que Ġvillage Ġof ĠK itz b Ã¼ hel Ġis Ġnest led Ġat Ġthe Ġfoot Ġof Ġthe Ġmajestic Ġmountain ĠWilhelm Ġin Ġthe ĠAustrian ĠAlps . </s>,<s> O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
Mount Fuji towered above Tokyo's cityscape on a misty winter morning.,<s> Mount ĠFuji Ġto wered Ġabove ĠTokyo 's Ġcity scape Ġon Ġa Ġmist y Ġwinter Ġmorning . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
The mountain Mount Hood towers over the surrounding landscape in Oregon's Cascade Range.,<s> The Ġmountain ĠMount ĠHood Ġtowers Ġover Ġthe Ġsurrounding Ġlandscape Ġin ĠOregon 's ĠCascade ĠRange . </s>,<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O </s>
"Aconcagua, the highest peak in both the Western Hemisphere and the Southern Hemisphere, is located at 22°12′S latitude and 69°50′W longitude near the Argentina–Chile border.","<s> A con c ag ua , Ġthe Ġhighest Ġpeak Ġin Ġboth Ġthe ĠWestern ĠHemisphere Ġand Ġthe ĠSouthern ĠHemisphere , Ġis Ġlocated Ġat Ġ22 Â° 12 âĢ² S Ġlatitude Ġand Ġ69 Â° 50 âĢ² W Ġlong itude Ġnear Ġthe ĠArgentina âĢĵ Ch ile Ġborder . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The Adirondack Mountains stretch across upstate New York, stretching for over 30 miles in length.","<s> The ĠAd ir ond ack ĠMountains Ġstretch Ġacross Ġup state ĠNew ĠYork , Ġstretching Ġfor Ġover Ġ30 Ġmiles Ġin Ġlength . </s>",<s> O O O O O O O O O O O O O O O O O O O O O </s>
The Ama Dablam mountain towered majestically above the Sherpa villages of Nepal's Khumbu Valley.,<s> The ĠAm a ĠD ab lam Ġmountain Ġto wered Ġmaj est ically Ġabove Ġthe ĠSher pa Ġvillages Ġof ĠNepal 's ĠKh umb u ĠValley . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
"The Annapurna massif towers above the Himalayan foothills, its majestic peak reaching for the sky.","<s> The ĠAnn ap urn a Ġmass if Ġtowers Ġabove Ġthe ĠHimal ayan Ġfooth ills , Ġits Ġmajestic Ġpeak Ġreaching Ġfor Ġthe Ġsky . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
"The Aneto, located in the Pyrenees mountains on the border between France and Spain, is the highest peak outside of Asia at an elevation of 3,404 meters.","<s> The ĠAn eto , Ġlocated Ġin Ġthe ĠPy rene es Ġmountains Ġon Ġthe Ġborder Ġbetween ĠFrance Ġand ĠSpain , Ġis Ġthe Ġhighest Ġpeak Ġoutside Ġof ĠAsia Ġat Ġan Ġelevation Ġof Ġ3 , 404 Ġmeters . </s>",<s> O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Baker's Peak in Colorado was named after John Baker, a surveyor and mountain explorer who climbed it in 1858.","<s> B aker 's ĠPeak Ġin ĠColorado Ġwas Ġnamed Ġafter ĠJohn ĠBaker , Ġa Ġsurvey or Ġand Ġmountain Ġexplorer Ġwho Ġclimbed Ġit Ġin Ġ18 58 . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
Brebeneskul Mountain in Bulgaria is known for its unique rock formations and distinctive peak shape.,<s> Bre ben es k ul ĠMountain Ġin ĠBulgaria Ġis Ġknown Ġfor Ġits Ġunique Ġrock Ġformations Ġand Ġdistinctive Ġpeak Ġshape . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
"Broad Peak, located in the Karakoram range of Pakistan and China, is the eleventh highest peak in the world with an elevation of 8,051 meters.","<s> Broad ĠPeak , Ġlocated Ġin Ġthe ĠKar ak or am Ġrange Ġof ĠPakistan Ġand ĠChina , Ġis Ġthe Ġele venth Ġhighest Ġpeak Ġin Ġthe Ġworld Ġwith Ġan Ġelevation Ġof Ġ8 , 05 1 Ġmeters . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
